Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic
QUEEN ST E and PAPE AVE,M4M 1K3,8561,2583
MARKHAM RD and PAINTED POST DR,M1H 2A9,15510,500
MARKHAM RD and PROGRESS AVE,M1G,31295,475
MARTIN GROVE RD and RATHBURN RD,M9B 2L6,13280,152
EGLINTON AVE W and BLACKTHORN AVE,M6M 1S7,14756,743
DUNDAS ST W and CLOVERDALE MALL,M9B 3Y8,20729,132
DUNDAS ST W and THE WEST MALL,Canada,28800,33
DUNDAS ST W and NEILSON DR,M9C,28100,223
BERMONDSEY RD and SUNRISE AVE,M4B,8166,142
BIRCHMOUNT RD and COMSTOCK RD,M1K 5H2,10556,217
BIRCHMOUNT RD and BERTRAND AVE,M1L 4P3,17228,177
THE QUEENSWAY and 427 C S QUEENSWAY RAMP,Canada,31020,26
KIPLING AVE and KINGSVIEW BLVD,M9R 1T9,13903,310
ELLESMERE RD and SCARBOROUGH GOLF CLUB RD,M1G,13183,190
FINCH AVE W and WILMINGTON AVE,M3H 4X4,16903,698
KINGSTON RD and GLEN EVEREST RD,M1N 2G2,10822,349
EVANS AVE and THE EAST MALL,M8W,13636,131
BROWNS LINE and EVANS BROWNS LI RAMP,M8W,17551,106
DUFFERIN ST and WINGOLD AVE,M6B 3R6,16771,763
BAY ST and YORKVILLE AVE,M5R 2A9,11870,8385
BAY ST and DAVENPORT RD,M5R,15657,1507
DON MILLS RD and HAVENBROOK BLVD,M2J 1B8,21973,1176
PARKWOODS VILLAGE DR and GISBURN RD,M3A 2X7,11826,800
BATHURST ST and CEDARCROFT BLVD,M2R,24124,1265
DUPONT ST and SHAW ST,M6G 1Z6,11994,867
ELLESMERE RD and NEILSON RD,M1E,10871,1490
MARTIN GROVE RD and MERCURY RD,M9W 3N2,10638,217
DUNDAS ST E and SUMACH ST,M5A 3H6,8486,1513
THE EAST MALL and EAST MALL CRES,M9B 6K9,13881,233
EGLINTON AVE W and JANE ST,M6M,29408,1265
SHEPPARD AVE E and CONSUMERS RD,M2J,20361,1571
EGLINTON AVE W and THE EAST MALL,M9B,17176,127
ISLINGTON AVE and JUTLAND RD,M8Z 2G4,18102,708
YONGE ST and GOULD ST,M5B 1R8,4591,11381
BLOOR ST W and SHAVER AVE N,M9B 1M3,14424,333
THE QUEENSWAY and THE EAST MALL,M8Z,28554,222
THE QUEENSWAY and THE WEST MALL,M9C,28233,70
BAY ST and ELM ST,M5G 1M7,12509,16952
WARDEN AVE and MANHATTAN DR,M1R 2R5,19109,230
DUNDAS ST W and EAST MALL CRES,M9B 1B9,26788,850
YORK MILLS RD and LESMILL RD,M3B 1Z1,20963,1872
THE QUEENSWAY and NORTH QUEEN ST,M9C 5K4,26239,684
BATHURST ST and VESTA DR,M5N 2P3,15765,1016
KENNEDY RD and 401 C W KENNEDY RD RAMP,Canada,34082,49
KENNEDY RD and 401 C E KENNEDY RD RAMP,Canada,36406,137
YONGE ST and CHARLES ST E,M4Y 1R4,12471,12829
PARLIAMENT ST and WINCHESTER ST,M4X 1P4,8778,4496
EVANS AVE and EVANS CRT,M9C,13646,277
BLOOR ST W and MILL RD,M9C 2A2,11986,826
RENFORTH DR and RENFORTH 427 S RAMP,M9C 2M9,22639,8
EGLINTON AVE W and RENFORTH DR,L5P 1B2,24741,514
WARDEN AVE and ARKONA DR,M1T 1L6,23944,353
KEELE ST and BROADOAKS DR,M3J 1N4,15375,1532
THE WEST MALL and SHERWAY DR,M9C 1A4,13642,1478
LAKE SHORE BLVD W and ONTARIO DR,M6K,24528,189
ELLESMERE RD and DORMINGTON DR,M1G 3M3,13956,857
LAWRENCE AVE E and CARNFORTH RD,M4A,27327,1123
JANE ST and YORKWOODS GT,M3N 2H8,14032,1355
STEELES AVE E and LESLIE ST,L3T 6L8,28358,212
STEELES AVE E and LAURELEAF RD S,M2M 2Z1,21204,301
RATHBURN RD and THE EAST MALL,M9B,11853,476
RATHBURN RD and THE WEST MALL,M9C,13816,725
SHEPPARD AVE E and MCCOWAN RD,M1S,34425,2423
MCCOWAN RD and 401 C W MCCOWAN RD S RAMP,Canada,38670,206
MCCOWAN RD and CONSILIUM PL,M1H,34231,99
PHARMACY AVE and COMSTOCK RD,M1L 3K2,19646,325
WESTON RD and OAK ST,M9N 2A4,17286,588
JANE ST and JOHN ST,M9N 2S7,16819,1034
DANFORTH AVE and MONARCH PARK AVE,M4J 4R3,11318,1972
YONGE ST and POYNTZ AVE,M2N 5M6,33436,3822
KIPLING AVE and TORLAKE CRES,M8Z 5E7,10565,114
ISLINGTON AVE and FINCH AVE W,Canada,24836,596
BURNHAMTHORPE RD and THE EAST MALL,M9B,20250,515
BURNHAMTHORPE RD and 427 C N BURNHAMTHORPE RAMP,Canada,27046,69
BURNHAMTHORPE RD and 427 C S RATHBURN E RAMP,Canada,26578,147
MCCOWAN RD and BRIMORTON DR,M1P 4A1,18068,319
LESLIE ST and CUMMER AVE,M2H,18360,1448
DIXON RD and ATTWELL DR,M9W,23800,543
EGLINTON AVE W and 27 401 427 EGLINTON E RAMP,M4P 1M6,30975,0
ISLINGTON AVE and ST ANDREWS BLVD,M9P 2R7,19941,1212
KEELE ST and CANARCTIC DR,M3J,16169,891
MARKHAM RD and TUXEDO CRT,M1G 3S3,25842,807
WARDEN AVE and METROPOLITAN RD,M1R 5S1,25357,126
KENNEDY RD and WICKWARE GT,M1P,19566,416
FINCH AVE W and DUNCANWOODS DR,M9M 2G2,17376,1441
FINCH AVE W and DRIFTWOOD AVE,M3N 1M8,19264,2202
JANE ST and GRANDRAVINE DR,M3N 2J1,14932,797
LAKE SHORE BLVD E and COXWELL AVE,M4L,18465,293
ROGERS RD and BICKNELL AVE,M6M 1B8,10522,516
LESLIE ST and NYMARK AVE,M2J,14692,318
STEELES AVE E and MAXOME AVE,M2M,20094,203
JANE ST and SHOREHAM DR,M3N 1S5,17925,2428
AVENUE RD and YORKVILLE AVE,M5R 2G2,12869,4860
DANFORTH RD and SEMINOLE AVE,M1J 1N6,13354,258
MARKHAM RD and 401 C E MARKHAM RD N RAMP,Canada,32856,14
MARKHAM RD and 401 C W MARKHAM RD S RAMP,Canada,34942,19
JANE ST and STONG CRT,M3N 2X9,13856,1516
JANE ST and HEATHROW DR,M3M 1W9,18009,842
EGLINTON AVE W and WINCOTT DR,M9R 2R7,23515,201
BURNHAMTHORPE RD and OLD BURNHAMTHORPE RD,M9C,18979,525
MARKHAM RD and BLAKEMANOR BLVD,M1J 2W7,14181,475
SCARBOROUGH GOLF CLUB RD and BRIMORTON DR,M1G 2S9,9156,772
YORK MILLS RD and VALENTINE DR,M3A,18501,237
BATHURST ST and CARSCADDEN DR,M2R 2A6,18638,275
BATHURST ST and STAFFORD RD,M2R 1X2,17649,195
BATHURST ST and BAYCREST AVE,M6A 2C7,18651,1584
VICTORIA PARK AVE and CRESCENT TOWN RD,M4C,9902,363
LAWRENCE AVE E and MANSE RD,M1E 3V4,11211,497
BAY ST and CHARLES ST W,M4Y 1R8,13272,14606
DIXON RD and CHETTA PL,M9R 1R9,15838,682
STEELES AVE E and WILLOWDALE AVE,M2M,20904,236
BIRCHMOUNT RD and HUNTINGWOOD DR,M1T 2W8,14889,162
DANFORTH RD and WOLFE AVE,M1K 4H8,10665,925
PARK LAWN RD and GARDINER E PARK LAWN RD RAMP,Canada,17018,314
MARKHAM RD and LUELLA ST,M1J 3C5,12478,925
WILSON AVE and YONGE BLVD,M5M 3H5,16712,1166
FINCH AVE W and MARTIN GROVE RD,M9V,19690,2368
CHURCH ST and GOULD ST,M5B 1Z4,7288,23017
VICTORIA PARK AVE and VAN HORNE AVE,M2J 4A8,16025,674
LAWRENCE AVE E and MARCOS BLVD,M1K,17937,869
MCCOWAN RD and ST ANDREWS RD,M1H,15117,159
ELLESMERE RD and BOROUGH APPROACH E,M1P,16361,147
FINCH AVE W and GOLDFINCH CRT,M2R,18577,1154
FINCH AVE E and ALAMOSA DR,M2H 1A1,18138,197
FINCH AVE W and ALNESS ST,M3J,24099,1099
ALBION RD and FINCH AVE W,M9V,26513,26513
FINCH AVE W and TOBERMORY DR,M3N 2R5,,
